course_name,login_count,active_days,login_frequency,login_consistency,course_access_count,module_completion_rate,page_view_count,class_exercise_submissions,class_exercises_attempted,total_practice,exercises_attempted,quiz_attempt_count,quiz_completion_rate,quiz_average_score,quiz_view_count,mock_exam_score,portal_based_exam_score,model_exam_score,pba_score,cia_score,end_semester_score,in_between_assessment_grade,pba_assessment_score,average_access_hour,study_session_count,time_spent_on_course_minutes,study_frequency_per_week,week_1_6_engagement,week_1_9_engagement,week_1_12_engagement,week_1_16_engagement,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,completed_modules,study_interval_regularity
Course 3,140,77,1.82,0.33,159,100.0,0,0,0,0,0,79,100.0,26.33,1095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.79,39,4236.0,10,1844,2320,2579,2579,0,58,310,605,686,185,176,52,248,146,0,113,0,0,0,0,76,0.743
Course 3,253,103,2.46,0.44,130,100.0,0,0,0,0,0,103,100.0,20.78,1698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.28,52,4263.0,12,3035,3635,4017,4017,8,236,366,1402,707,316,249,281,70,151,113,118,0,0,0,0,99,0.81
Course 3,222,118,1.88,0.5,221,100.0,0,0,0,0,0,117,100.0,25.05,1795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.17,68,6057.0,13,3060,3700,4255,4257,5,64,807,1061,740,383,340,43,257,187,198,170,2,0,0,0,113,0.865
Course 3,117,68,1.72,0.29,49,100.0,0,0,0,0,0,75,100.0,25.6,1105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.29,31,2899.0,10,2322,2489,2592,2592,0,142,628,815,637,100,94,40,33,33,0,70,0,0,0,0,71,0.707
Course 3,352,104,3.38,0.44,111,100.0,0,0,0,0,0,88,100.0,36.31,1397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.24,42,8685.0,11,3034,3422,3482,3482,161,472,578,925,810,88,172,37,179,44,0,16,0,0,0,0,86,0.758
Course 3,293,97,3.02,0.41,101,100.0,0,0,0,0,0,89,100.0,34.76,1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.33,46,2943.0,11,2327,2798,2998,2998,1,234,434,880,689,89,294,34,143,143,57,0,0,0,0,0,88,0.798
Course 3,131,72,1.82,0.31,112,100.0,0,0,0,0,0,96,100.0,34.67,1254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.02,38,3572.0,11,2352,2696,2888,2888,0,138,601,825,607,181,214,35,95,132,32,28,0,0,0,0,92,0.754
Course 3,139,55,2.53,0.24,93,100.0,0,0,0,0,0,63,100.0,37.88,1251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.11,28,1805.0,9,2427,2689,2730,2730,1,88,451,820,647,420,211,0,51,0,0,41,0,0,0,0,60,0.661
Course 3,222,99,2.24,0.42,153,100.0,0,0,0,0,0,122,100.0,32.48,1541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49,53,8302.0,12,2734,3192,3802,3802,5,238,711,937,674,169,266,97,95,211,188,211,0,0,0,0,114,0.812
Course 3,168,72,2.33,0.31,177,100.0,0,0,0,0,0,100,100.0,32.86,1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.29,38,4171.0,11,2180,2780,3046,3046,0,84,503,755,628,210,237,125,238,143,34,89,0,0,0,0,98,0.77
